question, answer
what happened in march 1814?,in march 1814,coalition forces captured paris,leading to napoleon's abdication and exile to elba.
what happened after napoleon escaped from elba?,napoleon escaped from elba and returned to france,where he was welcomed by cheering crowds and began his hundred days campaign.
what happened at the battle of waterloo?,at the battle of waterloo,napoleon's forces were crushed by the british,with assistance from the prussians.
what happened to napoleon after the battle of waterloo?,after the battle of waterloo,napoleon was exiled to the remote,british-held island of saint helena.
when did napoleon reestablish a french aristocracy?,during the expansion of his empire across much of western and central continental europe.
what did napoleon do in retaliation for russia's withdrawal from the continental system?,he led a massive army into russia in the summer of 1812.
what strategy did the russians adopt to counter napoleon's invasion?,they retreated whenever napoleon's forces attempted to attack.
what was the outcome of the battle of borodino?,both sides suffered heavy casualties,but the battle was indecisive.
what happened to napoleon's army after he captured moscow?,they suffered from a lack of supplies and were harassed by the russian army during their disastrous retreat.
how many of napoleon's troops survived the russian campaign?,only an estimated 100,000 out of 600,000 made it out of russia.
when did the peninsular war take place?,from 1808-1814.
what was the outcome of the battle of leipzig?,napoleon's forces were defeated by a coalition of austrian,prussian,russian,and swedish troops.
when did napoleon abdicate the throne?,on april 6,1814.
where was napoleon exiled after his first abdication?,to elba,a mediterranean island off the coast of italy.
when did napoleon escape from elba?,on february 26,1815.
what was napoleon's campaign after his return to france known as?,the hundred days campaign.
what happened at the battle of waterloo?,napoleon's forces were crushed by the british,with assistance from the prussians.
when did napoleon abdicate the throne for the second time?,on june 22,1815.
where was napoleon exiled after his second abdication?,to the remote,british-held island of saint helena,in the south atlantic ocean.
when did napoleon re-establish the french aristocracy?,1802 1804
what was the name of the strategy the russians used to fight napoleon?,scorched-earth policy
what was the name of the battle in which napoleon suffered heavy casualties?,battle of borodino
what was the name of the city that napoleon marched on?,moscow
what was the name of the peninsula where the french were driven out by the spanish and portuguese?,iberian peninsula
what was the name of the battle in which napoleon was defeated by a coalition of allies?,battle of leipzig
when was napoleon forced to abdicate the throne for the first time?,april 6,1814
where was napoleon exiled to after his first abdication?,elba
when did napoleon escape from elba?,february 26,1815
what was the name of the campaign that napoleon launched after his return to france?,hundred days campaign
what was the name of the battle in which napoleon was defeated for the final time?,battle of waterloo
when was napoleon exiled to saint helena?,october 1815
in what ways did napoleon reassert french aristocracy and nobility?,during these years,napoleon reestablished a french aristocracy (eliminated in the french revolution) and began handing out titles of nobility to his loyal friends and family as his empire continued to expand across much of western and central continental europe.
what caused napoleon's invasion of russia?,in 1810,russia withdrew from the continental system.
in retaliation,napoleon led a massive army into russia in the summer of 1812.
what strategy did the russians employ against napoleon's invasion?,rather than engaging the french in a full-scale battle,the russians adopted a strategy of retreating whenever napoleon's forces attempted to attack.
what was the outcome of the battle of borodino?,in september,both sides suffered heavy casualties in the indecisive battle of borodino.
what happened after napoleon marched on moscow?,napoleon's forces marched on to moscow,only to discover almost the entire population evacuated.
retreating russians attacked across the city to deprive enemy troops of supplies.
what led to napoleon's disastrous retreat from moscow?,after waiting a month for a surrender that never came,napoleon,faced with the onset of the russian winter,was forced to order his starving,exhausted army out of moscow.
what were the consequences of napoleon's russian campaign?,during the disastrous retreat,his army suffered continual harassment from a suddenly aggressive and merciless russian army.
of napoleon's 600,000 troops who began the campaign,only an estimated 100,000 made it out of russia.
what was the outcome of the peninsular war?,at the same time as the catastrophic russian invasion,french forces were engaged in the peninsular war (1808-1814),which resulted in the spanish and portuguese,with assistance from the british,driving the french from the iberian peninsula.
what was the battle of leipzig and its outcome?,this loss was followed in 1813 by the battle of leipzig,also known as the battle of nations,in which napoleon's forces were defeated by a coalition that included austrian,prussian,russian,and swedish troops.
when and where was napoleon forced to abdicate the throne?,in march 1814,coalition forces captured paris.
on april 6,1814,napoleon,then in his mid-40s,was forced to abdicate the throne.
what was the treaty of fontainebleau and its terms?,with the treaty of fontainebleau,he was exiled to elba,a mediterranean island off the coast of italy.
he was given sovereignty over the small island,while his wife and son went to austria.
when and how did napoleon escape from elba?,on february 26,1815,after less than a year in exile,napoleon escaped elba and sailed to the french mainland with a group of more than 1,000 supporters.
how was napoleon received upon his return to france?,on march 20,he returned to paris,where he was welcomed by cheering crowds.
the new king,louis xviii (1755-1824),fled,and napoleon began what came to be known as his hundred days campaign.
what happened after napoleon's return to france?,upon napoleon's return to france,a coalition of allies (the austrians,british,prussians,and russians) who considered the french emperor an enemy began to prepare for war.
what was napoleon's strategy against the allied forces?,napoleon raised a new army and planned to strike first,defeating the allied forces one by one before they could launch a united attack against him.
where did napoleon invade in june 1815 and what was the outcome?,in june 1815,his forces invaded belgium,where british and prussian troops were stationed.
on june 16,napoleon's troops defeated the prussians at the battle of ligny.
what happened at the battle of waterloo?,however,two days later,on june 18,at the battle of waterloo near brussels,the french were crushed by the british,with assistance from the prussians.
when and where was napoleon exiled after his final defeat?,on june 22,1815,napoleon was once again forced to abdicate.
in october 1815,napoleon was exiled to the remote,british-held island of saint helena,in the south atlantic ocean.
why was napoleon forced to order his starving,exhausted army out of mosco?,after waiting a month for a surrender that never came,napoleon,faced with the onset of the russian winter,was forced to order his starving,exhausted army out of moscow.
what happened during the disastrous retreat?,during the disastrous retreat,his army suffered continual harassment from a suddenly aggressive and merciless russian army.
what was the outcome of the peninsular war?,the spanish and portuguese,with assistance from the british,drove the french from the iberian peninsula.
what happened at the battle of leipzig?,napoleon's forces were defeated by a coalition that included austrian,prussian,russian and swedish troops.
when and where was napoleon exiled after his first abdication?,he was exiled to elba,a mediterranean island off the coast of italy,on april 6,1814.
how did napoleon return to power in 1815?,he escaped elba and sailed to the french mainland with a group of more than 1,000 supporters on february 26,1815.
what was napoleon's plan upon his return to france?,he raised a new army and planned to strike first,defeating the allied forces one by one before they could launch a united attack against him.
what was the outcome of the battle of waterloo?,the french were crushed by the british,with assistance from the prussians.
when and where was napoleon exiled after his second abdication?,he was exiled to the remote,british-held island of saint helena,in the south atlantic ocean,in october 1815.
when did napoleon reestablish a french aristocracy?,during these years
what did napoleon do as his empire expanded?,he began handing out titles of nobility to his loyal friends and family.
what happened in 1810?,russia withdrew from the continental system.
how did russia respond to napoleon's invasion?,they adopted a strategy of retreating whenever napoleon's forces attempted to attack.
what was the result of napoleon's troops trekking deeper into russia?,they were ill-prepared for an extended campaign.
what happened in the battle of borodino?,both sides suffered heavy casualties.
what did napoleon discover when he reached moscow?,almost the entire population had evacuated.
why did napoleon order his army out of moscow?,due to the onset of the russian winter.
what happened during the disastrous retreat?,napoleon's army suffered continual harassment from a suddenly aggressive and merciless russian army.
how many of napoleon's troops made it out of russia?,only an estimated 100,000 out of 600,000.
what was happening while napoleon was invading russia?,the french forces were engaged in the peninsular war (1808-1814).
what was the outcome of the peninsular war?,spanish and portuguese forces,with assistance from the british,drove the french from the iberian peninsula.
what happened in the battle of leipzig?,napoleon's forces were defeated by a coalition of austrian,prussian,russian and swedish troops.
when did napoleon retreat to france?,in march 1814.
what happened in march 1814?,coalition forces captured paris.
when was napoleon forced to abdicate the throne?,on april 6,1814.
where was napoleon exiled to after his abdication?,to elba,a mediterranean island off the coast of italy.
how long did napoleon remain in exile?,less than a year.
when did napoleon escape from elba?,on february 26,1815.
what did napoleon do upon his return to france?,he returned to paris and began his hundred days campaign.
how did the allies respond to napoleon's return to france?,they began to prepare for war.
what did napoleon plan to do?,he planned to strike first and defeat the allied forces one by one.
where did napoleon invade in june 1815?,belgium.
what happened at the battle of ligny?,napoleon's troops defeated the prussians.
what happened at the battle of waterloo?,the french were crushed by the british,with assistance from the prussians.
when was napoleon forced to abdicate the second time?,on june 22,1815.
where was napoleon exiled to after his second abdication?,to the remote,british-held island of saint helena,in the south atlantic ocean.
what did napoleon do during his reign?,reestablished a french aristocracy and began handing out titles of nobility to loyal friends and family
why did russia withdraw from the continental system in 1810?,napoleon led a massive army into russia in retaliation
what strategy did the russians adopt when napoleon invaded russia in 1812?,retreat whenever napoleon's forces attempted to attack
what was the outcome of the battle of borodino?,both sides suffered heavy casualties,but it was indecisive
what happened to napoleon's army after the battle of borodino?,marched on to moscow,only to discover almost the entire population evacuated
what did napoleon do after waiting a month for a surrender in moscow?,ordered his starving,exhausted army out of moscow
what happened to napoleon's army during the disastrous retreat from moscow?,suffered continual harassment from a suddenly aggressive and merciless russian army
how many troops did napoleon have at the beginning of the russian campaign?,600,000
how many troops made it out of russia?,100,000
what was the peninsular war?,a conflict between french forces and spanish and portuguese forces,with assistance from the british,which resulted in the french being driven from the iberian peninsula
what happened at the battle of leipzig in 1813?,napoleon's forces were defeated by a coalition of austrian,prussian,russian and swedish troops
what happened after napoleon's defeat at the battle of leipzig?,he retreated to france,and in march 1814 coalition forces captured paris
when did napoleon abdicate the throne for the first time?,april 6,1814
where was napoleon exiled after his first abdication?,elba,a mediterranean island off the coast of italy
when did napoleon escape from elba?,february 26,1815
what was napoleon's hundred days campaign?,his effort to regain power after escaping from elba
what happened to napoleon after his defeat at the battle of waterloo?,he was exiled to the remote,british-held island of saint helena,in the south atlantic ocean
what was the cause of napoleon's death?,stomach cancer
where was napoleon exiled to?,saint helena
what was the name of the governor of saint helena?,hudson lowe
what did napoleon do to rebel against the restrictions placed on him?,he closed the shutters of the house and carved tiny peepholes into them,and he designed sunken pathways in the garden.
what were some of napoleon's pastimes during his exile?,he dictated his memoirs,wrote a book on julius caesar,studied english,and played cards.
what was the name of napoleon's physician who performed the autopsy?,francesco antommarchi
when did napoleon bonaparte pass away?,may 5th,1821
how old was napoleon bonaparte when he passed away?,51 years old
what was the most likely cause of napoleon bonaparte's death?,stomach cancer
where was napoleon bonaparte buried?,les invalides in paris,france
what was napoleon bonaparte's request for his burial place?,to be laid to rest 'on the banks of the seine,among the french people i have loved so much'
what was the name of the island where napoleon bonaparte was exiled?,saint helena in the south atlantic ocean
how big was the island of saint helena?,about 10 by 5 miles
what was the condition of longwood house,where napoleon bonaparte was moved to?,damp and riddled with mold
what was the name of the british governor of the island who was determined to prevent napoleon bonaparte from escaping?,hudson lowe
what did napoleon bonaparte do in his exile?,dictated his memoirs,wrote a book on julius caesar,studied english,and played cards
what was the range of solitaire card game versions named after napoleon bonaparte?,patience
when did napoleon bonaparte's health begin to decline precipitously?,february 1821,about four years after his arrival on saint helena
what did napoleon bonaparte do before his death?,reconciled with the catholic church,made his confession and took the final sacraments
who carried out the autopsy on napoleon bonaparte shortly after he died?,his physician francesco antommarchi
when did napoleon pass away?,may 5th,1821
what was his age at the time of his death?,51 years old
what was the cause of his death?,most likely stomach cancer
where was napoleon buried?,initially on the island of saint helena,later returned to france in 1840 and entombed in les invalides in paris
what were some of napoleon's military achievements?,defeating the united powers of europe
what were some of napoleon's reforms?,sweeping reforms of law and bureaucracy across an entire continent
where was napoleon exiled to after his defeat at waterloo?,the british-held island of saint helena in the south atlantic ocean
what was the living situation like on saint helena?,damp,moldy,and infested with rats
what restrictions were placed on napoleon during his exile?,restricted movement,monitored correspondence,and ordered to be seen in the flesh by british officers several times a day
how did napoleon react to the restrictions placed on him?,he closed the shutters of the house and carved tiny peepholes into them,and designed sunken pathways in the garden to make it harder for the officers to spot him
what were some of napoleon's pastimes during his exile?,dictating his memoirs,writing a book on julius caesar,studying english,and playing cards
what was the cause of napoleon's declining health?,living conditions and lack of exercise
when did napoleon reconcile with the catholic church?,february 1821
when did napoleon pass away?,may 5th,1821
who carried out napoleon's autopsy?,his physician francesco antommarchi
when did napoleon bonaparte die?,may 5th,1821
how old was napoleon bonaparte when he died?,51
what was the most likely cause of napoleon bonaparte's death?,stomach cancer
where was napoleon bonaparte buried?,les invalides in paris
what were napoleon bonaparte's final years like?,he was exiled to the island of saint helena,where he suffered from poor health and died at the age of 51.
what did napoleon bonaparte do during his exile on saint helena?,he dictated his memoirs,wrote a book on julius caesar,studied english,and played cards.
what was napoleon bonaparte's relationship with the catholic church like?,it was tumultuous,but he eventually reconciled with the church before his death.
what were napoleon bonaparte's last words?,unknown
who carried out napoleon bonaparte's autopsy?,his physician francesco antommarchi
when did napoleon bonaparte die?,may 5,1821
what was napoleon bonaparte's cause of death?,stomach cancer
where was napoleon bonaparte buried?,les invalides in paris
what was napoleon bonaparte's request for his burial?,to be laid to rest 'on the banks of the seine,among the french people i have loved so much'
what was napoleon bonaparte's final resting place?,a crypt at les invalides in paris
what was the name of the island where napoleon bonaparte was exiled?,saint helena
how big was the island of saint helena?,10 by 5 miles
what was the condition of longwood house,where napoleon bonaparte was housed?,damp and riddled with mold
what was the name of the british governor of saint helena?,hudson lowe
what restrictions did hudson lowe place on napoleon bonaparte?,restricted his movement,monitoring his correspondence,and ordering that napoleon be seen in the flesh by british officers several times a day
how did napoleon bonaparte react to these restrictions?,he closed the shutters of the house and carved tiny peepholes into them so that he could look out without being seen
what pastimes did napoleon bonaparte take up in exile?,he dictated his memoirs,wrote a book on julius caesar,studied english,and played cards
what was the name of the physician who performed the autopsy on napoleon bonaparte?,francesco antommarchi
what was the cause of napoleon bonaparte's death?,stomach cancer
how old was napoleon bonaparte when he died?,51
where was napoleon bonaparte exiled to?,saint helena
what were some of the living conditions that napoleon bonaparte faced on saint helena?,damp,moldy,and infested with rats
what were some of the restrictions that were placed on napoleon bonaparte on saint helena?,restricted movement,monitoring of correspondence,and being seen in the flesh by british officers several times a day
what were some of the activities that napoleon bonaparte took up on saint helena?,dictating his memoirs,writing a book on julius caesar,studying english,and playing cards
what was the name of napoleon bonaparte's physician who carried out his autopsy?,francesco antommarchi
who passed away on may 5th,1821 at the age of 51?,napoleon bonaparte
what was the cause of his death?,stomach cancer
where was he buried?,at les invalides in paris
what were his achievements during his time in power?,he won many military victories,reformed the law and bureaucracy across europe
what happened to him after he was defeated at waterloo?,he abdicated his throne and surrendered to the british
where was he exiled to?,saint helena in the south atlantic ocean
what were the conditions like on saint helena?,it was a small,isolated island with a damp and moldy climate
how did he spend his time on saint helena?,he dictated his memoirs,wrote a book,studied english,and played cards
what happened to his health on saint helena?,he suffered from abdominal pain,constipation,vomiting and overall weakness
when did he know his end was nigh?,february 1821
what did he do before he died?,he reconciled with the catholic church and took the final sacraments
what date did napoleon die?,may 5,1821
what age was napoleon when he died?,51 years old
what was napoleon's cause of death?,most likely stomach cancer
where was napoleon buried?,les invalides in paris
what were napoleon's accomplishments?,awesome military achievements,sweeping reforms of law and bureaucracy
what was napoleon's exile like?,humiliating,isolated,and unhealthy
who was the new british governor of the island?,hudson lowe
what restrictions did hudson lowe impose on napoleon?,restricted movement,monitored correspondence,ordered to be seen in the flesh by british officers several times a day
how did napoleon rebel against these restrictions?,he closed the shutters of the house,carved peepholes into them,and designed sunken pathways in the garden.
what were some of napoleon's pastimes in exile?,he dictated his memoirs,wrote a book on julius caesar,studied english,and played cards.
what health problems did napoleon experience in exile?,abdominal pain,constipation,vomiting and overall weakness
when did napoleon know his end was nigh?,february 1821
did napoleon reconcile with the catholic church before he died?,yes,he did.
when did napoleon bonaparte pass away?,may 5th,1821
what was napoleon bonaparte's age at the time of his death?,51
what was the most likely cause of napoleon bonaparte's death?,stomach cancer
where was napoleon bonaparte buried?,les invalides in paris
what were napoleon bonaparte's final wishes regarding his burial place?,to be laid to rest 'on the banks of the seine,among the french people i have loved so much'
when were napoleon bonaparte's remains returned to france?,1840
what was the name of the island where napoleon bonaparte was exiled?,saint helena
what was the size of the island where napoleon bonaparte was exiled?,10 by 5 miles
what was the condition of longwood house,where napoleon bonaparte was moved to?,damp and riddled with mold
what was the name of the british governor of the island of saint helena?,hudson lowe
what measures did hudson lowe take to prevent napoleon bonaparte from escaping?,restricted his movement,monitored his correspondence,and ordered that he be seen in the flesh by british officers several times a day
how did napoleon bonaparte rebel against hudson lowe's restrictions?,he closed the shutters of the house and carved tiny peepholes into them so that he could look out without being seen.
he also designed sunken pathways in the garden to make it harder for the officers to spot him
what pastimes did napoleon bonaparte take up during his exile?,he dictated his memoirs,wrote a book on julius caesar,studied english,and played cards
what was the name of the physician who carried out napoleon bonaparte's autopsy?,francesco antommarchi
when did napoleon pass away?,may 5th,1821
how old was napoleon when he passed away?,51
what was the most likely cause of napoleon's death?,stomach cancer
where was napoleon buried?,les invalides in paris
what were napoleon's achievements during his time in power?,awesome military achievements against the united powers of europe,sweeping reforms of law and bureaucracy across an entire continent
where was napoleon exiled to after his defeat at the battle of waterloo?,saint helena in the south atlantic ocean
what were the conditions like on saint helena?,grim,damp,and riddled with mold
how did napoleon react to his exile on saint helena?,went into a bizarre form of rebellion,closing the shutters of the house and carving tiny peepholes into them so that he could look out without being seen.
he also designed sunken pathways in the garden to make it harder for the officers to spot him.
what were some of napoleon's pastimes on saint helena?,dictated his memoirs,wrote a book on julius caesar,studied english,and played cards
what was the cause of napoleon's declining health?,living conditions and especially his lack of exercise
what did napoleon do before he died?,reconciled with the catholic church,made his confession,and took the final sacraments
who carried out napoleon's autopsy?,his physician francesco antommarchi
what happened to napoleon's heart and intestines?,they were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
where did his body end up?,it was smuggled out of the island by his chaplain and would end up being bought and sold over the years by various parties,eventually ending up on display in 1927 at new york city's museum of french art.
what was napoleon's nickname?,old bony
what did antommarchi say was the cause of napoleon's death?,stomach cancer
what did a swedish amateur toxicologist claim?,that napoleon had in fact been poisoned with arsenic.
what did other researchers point out?,in that era,arsenic was found in a range of materials in daily use and people were constantly exposed to it.
what other causes have been claimed?,a peptic ulcer or gastric cancer.
when was napoleon emperor of france?,1804-1815
when was napoleon born?,15 august 1769
where was napoleon educated?,military school in france
what did napoleon do after joining the army?,he rapidly rose through the ranks and became commander of the french army in 1796.
what did napoleon conquer in 1798?,ottoman-ruled egypt
what happened to napoleon's fleet at the battle of the nile?,it was destroyed by the british
when did napoleon become the first consul of france?,1799
when did napoleon become emperor?,1804
what battle did napoleon win in 1800?,the battle of marengo
what was the peace of amiens?,the treaty that marked the end of the french revolutionary war in 1802
what happened in 1803?,the treaty collapsed because britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
what happened in 1804?,britain declared war on france,and napoleon planned an ambitious scheme to invade england.
what was napoleon's plan to invade england?,he stationed 150,000 men and 2000 vessels at boulogne with the intention of crossing the english channel.
what happened to napoleon's invasion plans?,the british attacked the returning villeneuve off cape finisterre and napoleon abandoned his invasion plans.
'who was napoleon bonaparte?,napoleon bonaparte was one of the most successful generals of the french revolutionary armies.
he was emperor of france from 1804 to 1815.
what did antommarchi say about napoleon's cause of death?,antommarchi said napoleon died of stomach cancer.
what did a swedish amateur toxicologist claim in 1961?,in 1961,a swedish amateur toxicologist claimed that napoleon had been poisoned with arsenic.
what evidence did the toxicologist present?,the toxicologist pointed to the fact that arsenic was found in a range of materials in daily use in napoleon's time and that people were constantly exposed to it.
what other causes of death have been suggested?,other researchers have suggested that napoleon died of a peptic ulcer or gastric cancer.
what is napoleon bonaparte famous for?,napoleon bonaparte is famous for his military conquests,which include the conquest of ottoman-ruled egypt in 1798 and the defeat of the austrians at the battle of marengo in 1800.
who was napoleon's sole opponent?,napoleon's sole opponent was britain.
what was the peace of amiens?,the peace of amiens was a treaty signed in 1802 that marked the end of the french revolutionary war.
what caused the collapse of the treaty of amiens?,the treaty of amiens collapsed because britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
what was napoleon's plan to invade england?,in 1804,napoleon planned to invade england by stationing 150,000 men and 2,000 vessels at boulogne with the intention of crossing the english channel'.
what happened to napoleon's body after he died?,his heart and intestines were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
what was the cause of napoleon's death?,there is historical and medical debate around what caused the death of 'old bony'.
who was napoleon bonaparte?,napoleon bonaparte was one of the most successful generals of the french revolutionary armies.
when was napoleon bonaparte born?,napoleon was born on 15 august 1769
where did napoleon bonaparte go to school?,napoleon was educated at military school in france.
what did napoleon bonaparte do after he joined the army?,he rapidly rose through the ranks.
what did napoleon bonaparte do in 1798?,he conquered ottoman-ruled egypt.
what happened to napoleon bonaparte when he returned to france in 1799?,he became the country's 'first consul'.
what did napoleon bonaparte do in 1804?,he became emperor.
what happened at the battle of marengo in 1800?,napoleon defeated the austrians,establishing france's power over continental europe.
what was the peace of amiens?,a treaty signed in 1802 that marked the end of the french revolutionary war.
what happened in may 1803?,the peace of amiens collapsed because britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
what happened in 1804?,britain declared war on france,later followed by austria and russia.
what was napoleon's plan in 1804?,he planned to invade england.
what happened to napoleon's plan to invade england?,the british got wind of the plan and attacked the returning villeneuve off cape finisterre.
the british forced the franco-spanish fleet to retreat away from the channel and napoleon abandoned his invasion plans.
what happened to napoleon's body after he died?,his heart and intestines were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
what happened to napoleon's body after it was smuggled out of the island?,it was displayed in 1927 at new york city's museum of french art.
what was napoleon's nickname in english?,old bony
what did antommarchi say caused napoleon's death?,stomach cancer
what did a swedish amateur toxicologist claim caused napoleon's death?,arsenic poisoning
what was napoleon's military career like?,he was one of the most successful generals of the french revolutionary armies and became emperor of france from 1804 to 1815.
what did napoleon do in 1798?,he conquered ottoman-ruled egypt despite the british destroying his fleet.
when did napoleon become the country's 'first consul'?,1799
what happened after napoleon declared war on britain in 1803?,britain,austria,and russia declared war on france.
what was napoleon's plan to invade england in 1804?,he stationed 150,000 men and 2000 vessels at boulogne and planned to distract the british navy by sending the french fleet to the west indies and back,clearing the channel for invasion.
what happened to napoleon's heart and intestines after he died?,they were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
who smuggled napoleon's remains out of saint helena?,his chaplain.
where did napoleon's remains end up?,they were eventually put on display in 1927 at new york city's museum of french art.
what did time magazine compare napoleon's remains to?,a 'maltreated strip of buckskin shoelace'.
what has been the subject of historical and medical debate for the past 200 years?,the cause of napoleon's death.
what did antommarchi say was the cause of napoleon's death?,stomach cancer.
what did a swedish amateur toxicologist claim in 1961?,that napoleon had been poisoned with arsenic.
what have other researchers pointed out?,that arsenic was found in a range of materials in daily use in that era and people were constantly exposed to it.
what other possible causes of napoleon's death have been suggested?,a peptic ulcer or gastric cancer.
what is napoleon bonaparte famous for?,he was one of the most successful generals of the french revolutionary armies and emperor of france from 1804 to 1815.
when was napoleon bonaparte born?,august 15,1769.
where was napoleon bonaparte born?,ajaccio,corsica.
what did napoleon bonaparte do after joining the army?,he rapidly rose through the ranks following the outbreak of the french revolution.
what did napoleon bonaparte do in 1798?,he conquered ottoman-ruled egypt.
what happened to napoleon bonaparte's fleet at the battle of the nile?,it was destroyed by the british.
what did napoleon bonaparte become in 1799?,france's 'first consul'.
when did napoleon bonaparte become emperor of france?,1804.
what battle did napoleon bonaparte win in 1800?,the battle of marengo.
what was the outcome of the battle of marengo?,france established its power over continental europe.
who was napoleon bonaparte's sole opponent?,britain.
what was the peace of amiens?,a treaty signed in 1802 that marked the end of the french revolutionary war.
what did britain agree to do under the peace of amiens?,return territorial conquests to france,spain,and holland.
what happened in may 1803?,the treaty collapsed because britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
who declared war on france in 1803?,britain,followed by austria and russia.
what did napoleon bonaparte plan to do in 1804?,invade england.
how many men and vessels did napoleon bonaparte station at boulogne for the invasion of england?,150,000 men and 2,000 vessels.
what was part of napoleon bonaparte's plan to invade england?,to distract the british navy by encouraging them to chase the french fleet from toulon to the west indies and then back to france,thus clearing the channel for invasion.
what happened to napoleon bonaparte's invasion plans?,the british got wind of the plan and attacked the returning french fleet off cape finisterre,forcing it to retreat away from the channel.
what was done to napoleon's body after he died?,his heart and intestines were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
who smuggled napoleon's body out of the island?,his chaplain
where did napoleon's body end up being displayed?,new york city's museum of french art
what did time magazine compare napoleon's body to?,a 'maltreated strip of buckskin shoelace'
what was napoleon nicknamed by the english?,old bony
what did antommarchi say caused napoleon's death?,stomach cancer
what did a swedish amateur toxicologist claim caused napoleon's death?,arsenic poisoning
what other possible causes of napoleon's death have been suggested?,peptic ulcer or gastric cancer
what was napoleon's occupation?,general in the french revolutionary armies,emperor of france
when was napoleon emperor of france?,1804-1815
when was napoleon born?,august 15,1769
where was napoleon educated?,military school in france
when did napoleon become commander of the french army?,1796
what did napoleon conquer in 1798?,ottoman-ruled egypt
who defeated the british at the battle of marengo?,napoleon
what country was napoleon's sole opponent?,britain
when was the peace of amiens signed?,1802
what marked the end of the french revolutionary war?,the peace of amiens
when did britain declare war on france again?,may 1803
what did napoleon plan to do in 1804?,invade england
how many men and vessels did napoleon station at boulogne?,150,000 men and 2000 vessels
what was part of napoleon's plan to invade england?,distracting the british navy by encouraging them to chase the french fleet
what happened to napoleon's invasion plans?,they were abandoned after the british attacked the returning french fleet
what happened to napoleon's body after he died?,his heart and intestines were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
what is the debate surrounding napoleon's death?,there has been historical and medical debate around what caused the death of 'old bony',as the english nicknamed him.
who said napoleon died of stomach cancer?,antommarchi said it was stomach cancer.
who claimed napoleon was poisoned with arsenic?,a swedish amateur toxicologist claimed that napoleon had in fact been poisoned with arsenic.
what other causes of death have been proposed?,other researchers have pointed out that,in that era,arsenic was found in a range of materials in daily use and people were constantly exposed to it.
others have claimed it was either a peptic ulcer or gastric cancer
what was napoleon's rank in the french army in 1796?,he was commander of the french army in 1796.
in what battle did napoleon conquer ottoman-ruled egypt?,he conquered ottoman-ruled egypt in the battle of the nile in 1798.
when did napoleon become emperor of france?,he became emperor of france in 1804.
at what battle did napoleon defeat the austrians,establishing france's power over continental europe?,battle of marengo in 1800
what was the peace of amiens?,it was a peace treaty signed in 1802,marking the end of the french revolutionary war.
why did the peace of amiens collapse?,britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
when did britain declare war on france again?,britain declared war on france again in may 1803.
what was napoleon's plan to invade england in 1804?,he planned to station 150,000 men and 2000 vessels at boulogne and cross the english channel.
why did napoleon abandon his invasion plans?,the british attacked the returning french fleet,led by vice-admiral villeneuve,off cape finisterre and forced them to retreat.
what happened to napoleon's body after he died?,his heart and intestines were removed and stored in sealed vessels,and his body was smuggled out of the island to be eventually displayed at the museum of french art in new york city.
what did antommarchi say was the cause of napoleon's death?,he claimed that napoleon died of stomach cancer.
what did a swedish toxicologist claim was the cause of napoleon's death?,arsenic poisoning.
when did napoleon become emperor of france?,in 1804.
what military action did napoleon take in an attempt to disrupt trade routes with india?,he invaded ottoman-ruled egypt in 1798.
what was napoleon's plan to invade england?,he gathered 150,000 men and 2000 vessels at boulogne and intended to cross the english channel,distracting the british navy by sending the french fleet to the west indies and then back to france.
what year did the treaty of amiens mark the end of the french revolutionary war?,1802.
what led to the collapse of the treaty of amiens?,britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
when did britain declare war on france again?,in may 1803.
what happened to napoleon's body after he died?,his heart and intestines were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
what happened to his body after it was removed from the island?,it was smuggled out of the island by his chaplain and would end up being bought and sold over the years by various parties,eventually ending up on display in 1927 at new york city's museum of french art
what did time magazine compare it to?,a 'maltreated strip of buckskin shoelace'.
for how long has there been a debate about what caused napoleon's death?,for the past 200 years
what did antommarchi say caused napoleon's death?,stomach cancer
what did a swedish amateur toxicologist claim in 1961?,that napoleon had in fact been poisoned with arsenic and pointed the finger at one of his french entourage
what was napoleon's title from 1804-1815?,emperor of france
how is napoleon bonaparte regarded?,one of history's greatest military leaders
where was napoleon born?,august 15 1769
where was napoleon educated?,military school in france
what rank did napoleon achieve in the army?,commander of the french army
what did napoleon conquer in 1798?,ottoman-ruled egypt
what happened to napoleon's fleet in the battle of the nile?,the british destroyed the fleet from which he had just landed his forces
what position did napoleon become in 1799?,the country's ‘first consul',
when did napoleon become emperor?,in 1804
what battle did napoleon defeat the austrians?,at the battle of marengo
what marked the end of the french revolutionary war?,the peace of amiens was signed in 1802
what did britain agree to return to france,spain and holland?,territorial conquests
